"Avi","Crispin : The Cross of Lead"
"Linda Sue Park","A Single Shard"
"Richard Peck","A Year Down Yonder"
"Christopher Paul Curtis","Bud , Not Buddy"
"Louis Sachar","Holes"
"Karen Hesse","Out of the Dust"
"E . L . Konigsburg","The View from Saturday"
"Karen Cushman","The Midwife&apos;s Apprentice"
"Sharon Creech","Walk Two Moons"
"Lois Lowry","The Giver"
"Cynthia Rylant","Missing May"
"Phyllis Reynolds Naylor","Shiloh"
"Jerry Spinelli","Maniac Magee"
"Lois Lowry","Number the Stars"
"Paul Fleischman","Joyful Noise : Poems for Two Voices"
"Russell Freedman","Lincoln : A Photobiography"
"Sid Fleischman","The Whipping Boy"
"Patricia MacLachlan","Sarah , Plain and Tall"
"Robin McKinley","The Hero and the Crown"
"Beverly Cleary","Dear Mr . Henshaw"
"Cynthia Voigt","Dicey&apos;s Song"
"Nancy Willard","A Visit to William Blake&apos;s Inn"
"Katherine Paterson","Jacob Have I Loved"
"Joan W . Blos","A Gathering of Days : A New England Girl&apos;s Journal"
"Ellen Raskin","The Westing Game"
"Katherine Paterson","Bridge to Terabithia"
"Mildred D . Taylor","Roll of Thunder , Hear My Cry"
"Susan Cooper","The Grey King"
"Virginia Hamilton","M . C . Higgins , the Great"
"Paula Fox","The Slave Dancer"
"Jean Craighead George","Julie of the Wolves"
"Robert C . O&apos;Brien","Mrs . Frisby and the Rats of NIMH"
"Betsy Byars","Summer of the Swans"
"William H . Armstrong","Sounder"
"Lloyd Alexander","The High King"
"E . L . Konigsburg","From the Mixed - Up Files of Mrs . Basil E . Frankweiler"
"Irene Hunt","Up a Road Slowly"
"Elizabeth Borton de Trevino","I , Juan de Pareja"
"Maia Wojciechowska","Shadow of a Bull"
"Emily Neville","It&apos;s Like This , Cat"
"Madeleine L&apos;Engle","A Wrinkle in Time"
"Elizabeth George Speare","The Bronze Bow"
"Scott O&apos;Dell","Island of the Blue Dolphins"
"Joseph Krumgold","Onion John"
"Elizabeth George Speare","The Witch of Blackbird Pond"
"Harold Keith","Rifles for Watie"
"Virginia Sorenson","Miracles on Maple Hill"
"Jean Lee Latham","Carry On , Mr . Bowditch"
"Meindert DeJong","The Wheel on the School"
"Joseph Krumgold","And Now Miguel"
"Ann Nolan Clark","Secret of the Andes"
"Eleanor Estes","Ginger Pye"
"Elizabeth Yates","Amos Fortune , Free Man"
"Marguerite de Angeli","The Door in the Wall"
"Marguerite Henry","King of the Wind"
"William PÃÂ¨ne du Bois","The Twenty - One Balloons"
"Carolyn Sherwin Bailey","Miss Hickory"
"Lois Lenski","Strawberry Girl"
"Robert Lawson","Rabbit Hill"
"Esther Forbes","Johnny Tremain"
"Elizabeth Janet Gray","Adam of the Road"
"Walter Edmonds","The Matchlock Gun"
"Armstrong Sperry","Call It Courage"
"James Daugherty","Daniel Boone"
"Elizabeth Enright","Thimble Summer"
"Kate Seredy","The White Stag"
"Ruth Sawyer","Roller Skates"
"Carol Ryrie Brink","Caddie Woodlawn"
"Monica Shannon","Dobry"
"Cornelia Meigs","Invincible Louisa"
"Elizabeth Lewis","Young Fu of the Upper Yangtze"
"Laura Adams Armer","Waterless Mountain"
"Elizabeth Coatsworth","The Cat Who Went to Heaven"
"Rachel Field","Hitty , Her First Hundred Years"
"Eric P . Kelly","The Trumpeter of Krakow"
"Dhan Gopal Mukerji","Gay Neck , the Story of a Pigeon"
"Will James","Smoky , the Cowhorse"
"Arthur Bowie Chrisman","Shen of the Sea"
"Charles Finger","Tales from Silver Lands"
"Charles Hawes","The Dark Frigate"
"Hugh Lofting","The Voyages of Doctor Dolittle"
"Hendrik Willem van Loon","The Story of Mankind"

