"George Back","British","","Canadian Arctic"
"William Baffin","","",""
"Samuel Baker","","",""
"Vasco NÃÂºÃÂ±ez de Balboa","Spanish","",""
"PÃÂªro de Barcelos","Portuguese","15th century / 16th century","North America"
"Willem Barents","Dutch","","Novaya Zemlya Northeast Passage"
"Heinrich Barth","","","Northern and Central Africa"
"Robert Bartlett","","","Arctic"
"George Bass","Australian","",""
"Abu Abdullah Muhammad Ibn Battuta","China","places","Tombouctou and other"
"Nicolas Baudin","French","18th","Australian"
"Fabian Gottlieb von Bellingshausen","Russian","",""
"Joseph RenÃÂ© Bellot","French","","Arctic"
"Moric Benovsky","","","Slovak"
"Vitus Bering","","",""
"Vittorio Bottego","Italian","",""
"Pierre Savorgan de Brazza","Italian","","French Congo &apos;s founder"
"Saint Brendan","Irish","","Atlantic Ocean"
"James Bruce","","",""
"William S . Bruce","Scottish","","Antarctica"
"Cornelis de Bruijn","","Dutch traveler and artist",""
"Lafayette Bunnell","","","Yosemite Valley"
"Richard Francis Burton","","",""
"Richard E . Byrd","","",""

