"Aquae Sulis","Bath","",""
"","","",""
"Isca","Caerleon","",""
"Venta Silurum","Newport","",""
"Venta Icenorum","","",""
"","","",""
"","Cambridge","",""
"","","",""
"Durovernum Cantiacorum","Canterbury","",""
"","","",""
"Moridunum","Carmarthen","",""
"Deva","Chester","",""
"Noviomagus Regneses","Chichester","",""
"Corinium Dobunnorum","Cirencester","",""
"Camulodunum","Colchester","",""
"Durnovaria","Dorchester","",""
"Dubris","Dover","",""
"Isca Dumnonnorum","Exeter","",""
"Glevum","Gloucester","",""
"Lindinis","Ilchester","",""
"Ratae Corieltauvum","Leicester","",""
"","Lincoln","",""
"Londinium","London","",""
"","","",""
"","","",""
"","","",""
"Calleva Atrebatum","Berkshire","",""
"Verulamium","St . Albans","",""
"","","",""
"","","",""
"","","",""
"Venta Belgarum","Winchester","",""
"Viriconium Cornoviorum","Shrewsbury","",""
"","","",""

