"http://dbpedia.org/resource/Lisa's_Rival","Lisa&apos;s Rival","0"
"http://dbpedia.org/resource/Itchy_\amp_Scratchy_Land","Itchy &amp; Scratchyland","1"
"http://dbpedia.org/resource/Sideshow_Bob_Roberts","Sideshow Bob Roberts","2"
"http://dbpedia.org/resource/Treehouse_of_Horror_V","Treehouse Of Horror V","3"
"http://dbpedia.org/resource/Homer_Badman","Homer : Bad Man","4"
"http://dbpedia.org/resource/Grampa_vs._Sexual_Inadequacy","Grandpa vs . Sexual Inadequacy","5"
"http://dbpedia.org/resource/Fear_of_Flying_(The_Simpsons)","Fear Of Flying","6"
"http://dbpedia.org/resource/Homer_the_Great","Homer The Great","7"
"http://dbpedia.org/resource/And_Maggie_Makes_Three","And Maggie Makes Three","8"
"http://dbpedia.org/resource/The_Springfield_Connection","The Springfield Connection","9"
"http://dbpedia.org/resource/Homie_the_Clown","Homie the Clown","10"
"http://dbpedia.org/resource/Bart_vs._Australia","Bart vs . Australia","11"
"http://dbpedia.org/resource/Homer_vs._Patty_\amp_Selma","Homer vs . Patty and Selma","12"
"http://dbpedia.org/resource/The_PTA_Disbands","The PTA Disbands","14"
"http://dbpedia.org/resource/Lemon_of_Troy","Lemon Of Troy","15"
"http://dbpedia.org/resource/A_Star_Is_Burns","A Star is Burns","16"

