"Algonquin College","Nepean","","",""
"Assumption University","Windsor","","",""
"Brescia College","London","","",""
"Brock University","St Catharines","","",""
"Bronte College","Mississauga","","",""
"Cambrian College","Sudbury","","",""
"Canadian Forces College","North York","","",""
"Canadore College","North Bay","","",""
"Carleton University","Ottawa","","",""
"Centennial College","Scarborough","","",""
"College Boreal","Sudbury","","",""
"College des Grands Lacs","Welland","","",""
"Conestoga College","Kitchener","","",""
"Confederation College","Thunder Bay","","",""
"Durham College","Oshawa","","",""
"Emmanuel Bible College","Kitchener","","",""
"Erindale College","Toronto","","",""
"Fanshawe College","London","","",""
"George Brown College","Toronto","","",""
"Georgian College","Barrie","","",""
"Humber College","Toronto","","",""
"Huron College","London","","",""
"Kemptville College","Kemptville","","",""
"Lakehead University","Thunder Bay","","",""
"Lambton College","Sarnia","","",""
"Laurentian University","Sudbury","","",""
"Loyalist College","Belleville","","",""
"McMaster University","Hamilton","","",""
"Mohawk College","Hamilton","","",""
"Niagara College","Welland","","",""
"Nipissing University","North Bay","","",""
"Northern College","Kirkland Lake","","",""
"Ontario College of Art and Design","Toronto","","",""
"Queen&apos;s University","Kingston","","",""
"Radio College of Canada","Toronto","","",""
"Redeemer College","Ancaster","","",""
"Ridgetown College","Ridgetown","","",""
"Royal Military College of Canada","Kingston","","",""
"Ryerson Polytechnic University","Toronto","","",""
"Sault College of Applied Arts and Technology","Sault Ste Marie","","",""
"Seneca College","Toronto","","",""
"Sheridan College","Oakville","","",""
"Sir Sandford Fleming College","Peterborough","","",""
"St Clair College","Windsor","","",""
"St Lawrence College Saint - Laurent","Kingston","","",""
"Toronto School of Theology","Toronto","","",""
"Trent University","Peterborough","","",""
"University of Trinity College","Toronto","","",""
"University of Guelph","Guelph","","",""
"University of Ottawa","Ottawa","","",""
"University of St Michael&apos;s College","Toronto","","",""
"University of Toronto","Toronto","","",""
"University of Toronto at Mississauga","Mississauga","","",""
"","","","",""
"University of Waterloo","Waterloo","","",""
"University of Western Ontario","London","","",""
"University of Western Ontario - King&apos;s College","London","","",""
"University of Windsor","Windsor","","",""
"Wilfrid Laurier University","Waterloo","","",""
"York University","Toronto","","",""

