"Film","Production company(s)","Producer(s)"
"Gone with the Wind","Selznick International, Metro-Goldwyn-Mayer","David O. Selznick"
"Dark Victory","Warner Bros.","David Lewis"
"Goodbye, Mr. Chips","Metro-Goldwyn-Mayer","Victor Saville"
"Love Affair","RKO Radio","Leo McCarey"
"Mr. Smith Goes to Washington","Columbia","Frank Capra"
"Ninotchka","Metro-Goldwyn-Mayer","Sidney Franklin"
"Of Mice and Men","Roach, United Artists","Lewis Milestone"
"Stagecoach","United Artists","Walter Wanger"
"The Wizard of Oz","Metro-Goldwyn-Mayer","Mervyn LeRoy"
"Wuthering Heights","Goldwyn, United Artists","Samuel Goldwyn"

