"Winner (wager)","Loser (wager)","Location","Event","Date","Notes"
"PrÃ­ncipe Azul (mask)","Ultratumba (mask)","Villahermosa, Tabasco","Live event","1972","[5][6]"
"PrÃ­ncipe Azul (mask)","Ultratumba (hair)","Villahermosa, Tabasco","Live event","1972","[5][6]"
"PrÃ­ncipe Azul (mask)","El Noruego (hair)","Villahermosa, Tabasco","Live event","1972","[5][6]"
"El Canek (mask)","El Destroyer (mask)","Monterrey, Nuevo LeÃ³n","Live event","1973-1974","[5][6]"
"El Canek (mask)","Dory Dixon (hair)","Unknown","Live event","1973-1974","[5][6]"
"El Canek (mask)","Humberto Garza (hair)","Unknown","Live event","Unknown","[5][6]"
"El Canek (mask)","CÃ©sar Valentino (hair)","Unknown","Live event","Unknown","[6]"
"El Canek (mask)","La Momia (mask)","San Luis PotosÃ­, San Luis PotosÃ­","Unknown","[5][6]"
"El Canek (mask)","La Momia (hair)","Unknown","Live event","Unknown","[5][6]"
"El Canek (mask)","Pantera Negra (hair)","Unknown","Live event","Unknown","[5][6]"
"El Canek (mask)","Coloso Colosetti (hair)","Unknown","Live event","Unknown","[5]"
"El Canek (mask)","Coloso Colosetti (hair)","Unknown","Live event","Unknown","[5]"
"El Canek (mask)","LemÃºs (mask)","Monterrey, Nuevo LeÃ³n","Live event","1974","[5][6]"
"El Canek (mask)","Sunny War Cloud (hair)","Monterrey, Nuevo LeÃ³n","Live event","1975","[5][6]"
"El Canek (mask)","RubÃ©n JuÃ¡rez (hair)","Monterrey, Nuevo LeÃ³n","Live event","1975","[5][6]"
"El Canek (mask)","JosÃ© Torres (hair)","Monterrey, Nuevo LeÃ³n","Live event","1975","[5][6]"
"El Canek (mask)","Ã\u0081ngel Blanco (hair)","Naucalpan, Mexico State","UWA Live event","May 4, 1980","[5][49]"
"El Canek (mask)","El Asesino (mask)","Mexico City, Mexico","Live event","July 5, 1981","[5][6]"
"El Canek (mask)","Don Corleone (mask)","Naucalpan, Mexico State","Live event","1982","[5][6]"
"El Canek (mask)","Abdullah Tamba (hair)","Unknown","Live event","1983","[5][6]"
"El Canek (mask)","Ring Fujinami (hair)","Naucalpan, Mexico State","Live event","1983","[5][5][6]"
"El Canek (mask)","Blue Blazer (mask)","Naucalpan, Mexico State","UWA Live event","May 29, 1991","[5][6][50]"
"El Canek (mask)","Torre Infernal (mask)","Naucalpan, Mexico State","Live event","November 15, 1992","[5][6]"
"El Canek (mask)","Yamato (hair)","Naucalpan, Mexico State","Live event","August 15, 1993","[5][6]"
"El Canek (mask)","Scorpio, Jr. (hair)","Naucalpan, Mexico State","Live event","October 3, 1996","[5][6][Note 2]"
"El Canek (mask)","Universo 2000 (mask)","Mexico City, Mexico","CMLL 77th Anniversary Show","September 17, 2004","[Note 3][21]"
"El Canek (Championship)","MÃ¡scara AÃ±o 2000 Jr. (mask)","Naucalpan, Mexico State","IWRG Live event","May 5, 2010","[Note 4][39]"

