"Language","No. of films"
"Telugu","334 (digital) and 15 (celluloid), total of 349"
"Tamil","306 (digital) and 20 (celluloid), total of 326"
"Hindi","252 (digital) and 11 (celluloid), total of 263"
"Malayalam","200 (digital) and 1 (celluloid), total of 201"
"Marathi","117 (digital) and 43 (celluloid), total of 160"
"Kannada","142 (digital) and 1 (celluloid), total of 143"
"Bengali","134 (digital) and 1 (celluloid), total of 135"
"Bhojpuri","87 (digital) and 6 (celluloid), total of 93"
"Punjabi","47 (digital) and 22 (celluloid), total of 69"
"Gujarati","29 (digital) and 24 (celluloid), total of 53"
"Odia","37 (digital) and 0 (celluloid), total of 37"
"Assamese","17 (digital) and 4 (celluloid), total of 21"
"Rajasthani","14 (digital) and 0 (celluloid), total of 14"
"Chattisgarhi","13 (digital) and 0 (celluloid), total of 13"
"Tulu","7 (digital) and 0 (celluloid), total of 7"
"Maithali","7 (digital) and 0 (celluloid), total of 7"
"Konkani","5 (digital) and 1 (celluloid), total of 6"
"Sindhi","6 (digital) and 0 (celluloid), total of 6"
"English","5 (digital) and 0 (celluloid), total of 5"
"Nepali","5 (digital) and 0 (celluloid), total of 5"
"Haryanvi","2 (digital) and 0 (celluloid), total of 2"

