"Rank","Author","Title"
"1","Hideo Yokoyama","Rokuyon (64?)[20]"
"2","Miyuki Miyabe","Soromon no Gisho (ã\u0082½ã\u0083­ã\u0083¢ã\u0083³ã\u0081®å\u0081½è¨¼?)"
"3","Ryoe Tsukimura","Kiryu Keisatsu : Ankoku Shijo (æ©\u009Fé¾\u008Dè­¦å¯\u009F æ\u009A\u0097é»\u0092å¸\u0082å ´?)[21]"
"4","Shinzo Mitsuda","Yujo no gotoki Uramu Mono (å¹½å¥³ã\u0081®å¦\u0082ã\u0081\u008Dæ\u0080¨ã\u0082\u0080ã\u0082\u0082ã\u0081®?)"
"5","Ken Nishimura (ja)","Chi no Soko no Yama (å\u009C°ã\u0081®åº\u0095ã\u0081®ã\u0083¤ã\u0083\u009E?)"
"6","Maha Harada (ja)","Rakuen no Kanvasu (æ¥½å\u009C\u0092ã\u0081®ã\u0082«ã\u0083³ã\u0083´ã\u0082¡ã\u0082¹?)"
"7","Fumio Takano (ja)","Karamazofu no Imoto (ã\u0082«ã\u0083©ã\u0083\u009Eã\u0083¼ã\u0082¾ã\u0083\u0095ã\u0081®å¦¹?)"
"8","Rintaro Norizuki","Kingu o Sagase (ã\u0082­ã\u0083³ã\u0082°ã\u0082\u0092æ\u008E¢ã\u0081\u009B?)"
"9","Yukito Ayatsuji","Kimenkan no Satsujin (å¥\u0087é\u009D¢é¤¨ã\u0081®æ®ºäºº?)"
"10","Yusuke Miyauchi (ja)","Banjo no Yoru (ç\u009B¤ä¸\u008Aã\u0081®å¤\u009C?)"

