"Peak","Height (m)","Prom. (m)","Grid ref.",""
"Cuilcagh","665","606","H123280","Carn Clonhugh"
"Truskmore","647","560","G759473","Carn Clonhugh"
"Slievemore","597","214","G728463","Carn Clonhugh"
"Slieve Anierin","585","245","H018159","Carn Clonhugh"
"The Playbank","542","185","H033258","Carn Clonhugh"
"Arroo","523","436","G833520","Carn Clonhugh"
"Dough Mountain","465","268","G942423","Carn Clonhugh"
"Crockauns","463","386","G759410","Carn Clonhugh"
"Carran Hill","458","395","G844206","Carn Clonhugh"
"Lackagh","447","340","G931321","Carn Clonhugh"
"Thur Mountain","442","228","G980404","Carn Clonhugh"
"Benbo","415","214","G850377","Carn Clonhugh"
"Slieve Rushen","403","332","H234226","Carn Clonhugh"
"Killerry Mountain","293","232","G751317","Carn Clonhugh"
"Corn Hill","276","225","N187840","Carn Clonhugh"
"Slieve Daeane","275","217","G711299","Carn Clonhugh"
"Slieve Bawn","261","215","M954744","Carn Clonhugh"
"Bruse Hill","258","190","N317981","Carn Clonhugh"

