"City served\/location","ICAO","IATA","Airport name"
"Abingdon","YABI","ABG","Abingdon Airport"
"Agnew","","AGW","Agnew Airport"
"Alpha","YAPH","ABH","Alpha Airport"
"Aramac","YAMC","AXC","Aramac Airport"
"Arrabury","YARY","AAB","Arrabury Airport"
"Augustus Downs","YAGD","AUD","Augustus Downs Airport"
"Aurukun","YAUR","AUU","Aurukun Airport"
"Ayr","YAYR","AYR","Ayr Airport"
"Badu Island","YBAU","BDD","Badu Island Airport"
"Ballera","YLLE","BBL","Ballera Airport"
"Bamaga","YNPE","ABM","Northern Peninsula Airport (Bamaga\/Injinoo Airport)"
"Barcaldine","YBAR","BCI","Barcaldine Airport"
"Bedourie","YBIE","BEU","Bedourie Airport"
"Betoota","YBEO","BTX","Betoota Airport"
"Biloela","","ZBL","Biloela Airport"
"Birdsville","YBDV","BVI","Birdsville Airport"
"Bizant","","BZP","Bizant Airport"
"Blackall","YBCK","BKQ","Blackall Airport"
"Blackwater","YBTR","BLT","Blackwater Airport"
"Bloomfield River Mission \/ Wujal Wujal","","BFC","Bloomfield River Airport"
"Boigu Island","YBOI","GIC","Boigu Island Airport"
"Bollon","YBLL","BLS","Bollon Airport"
"Bolwarra","YBWR","BCK","Bolwarra Airport"
"Boulia","YBOU","BQL","Boulia Airport"
"Bowen","YBWN","ZBO","Bowen Airport"
"Brampton Island","YBPI","BMP","Brampton Island Airport"
"Brighton Downs","","BHT","Brighton Downs Airport"
"Brisbane","YBBN","BNE","Brisbane Airport"
"Brisbane \/ Archerfield","YBAF","","Archerfield Airport"
"Bulimba","YBWM","BIP","Bulimba Airport"
"Bundaberg","YBUD","BDB","Bundaberg Airport"
"Burketown","YBKT","BUC","Burketown Airport"
"Canobie","YCBE","CBY","Canobie Airport"
"Cairns","YBCS","CNS","Cairns Airport"
"Caloundra West \/ Sunshine Coast","YCDR","CUD","Caloundra Airport"
"Camooweal","YCMW","CML","Camooweal Airport"
"Cape Flattery","","CQP","Cape Flattery Airport"
"Carpentaria Downs","","CFP","Carpentaria Downs Airport"
"Charleville","YBCV","CTL","Charleville Airport"
"Charters Towers","YCHT","CXT","Charters Towers Airport"
"Cherrabah","","CRH","Cherrabah Airport"
"Chillagoe","YCGO","LLG","Chillagoe Airport"
"Chinchilla","YCCA","CCL","Chinchilla Airport"
"Clermont","YCMT","CMQ","Clermont Airport"
"Cloncurry","YCCY","CNJ","Cloncurry Airport"
"Cluny","YUNY","CZY","Cluny Airport"
"Coconut Island","YCCT","CNC","Coconut Island Airport"
"Coen","YCOE","CUQ","Coen Airport"
"Collinsville","YCSV","KCE","Collinsville Airport"
"Cooinda","YCOO","CDA","Cooinda Airport"
