"City served","FAA","IATA","ICAO","Airport name","Role","Enpl."
"","","","","Commercial service â\u0080\u0093 primary airports","",""
"Bismarck","BIS","BIS","KBIS","Bismarck Municipal Airport","P-N","238,929"
"Dickinson","DIK","DIK","KDIK","Dickinson Theodore Roosevelt Regional Airport","P-N","34,979"
"Fargo","FAR","FAR","KFAR","Hector International Airport","P-S","403,786"
"Grand Forks","GFK","GFK","KGFK","Grand Forks International Airport","P-N","148,663"
"Minot","MOT","MOT","KMOT","Minot International Airport","P-N","220,787"
"Williston","ISN","ISN","KISN","Sloulin Field International Airport","P-N","96,078"
"","","","","Commercial service â\u0080\u0093 nonprimary airports","",""
"Devils Lake","DVL","DVL","KDVL","Devils Lake Regional Airport (Knoke Field)","CS","2,678"
"","","","","General aviation airports","",""
"Beach","20U","","","Beach Airport","GA",""
"Bottineau","D09","","","Bottineau Municipal Airport","GA",""
"Bowman","BPP","BWM","KBPP","Bowman Municipal Airport","GA",""
"Cando","9D7","","","Cando Municipal Airport","GA",""
"Carrington","46D","","","Carrington Municipal Airport","GA",""
"Casselton","5N8","","","Casselton Robert Miller Regional Airport","GA",""
"Cavalier","2C8","","","Cavalier Municipal Airport","GA",""
"Cooperstown","S32","","","Cooperstown Municipal Airport","GA",""
"Crosby","D50","","","Crosby Municipal Airport","GA","4"
"Dunseith","S28","","","International Peace Garden Airport","GA",""
"Edgeley","51D","","","Edgeley Municipal Airport","GA",""
"Ellendale","4E7","","","Ellendale Municipal Airport","GA",""
"Fort Yates","Y27","","","Standing Rock Airport","GA",""
"Garrison","D05","","","Garrison Municipal Airport","GA",""
"Glen Ullin","D57","","","Glen Ullin Regional Airport","GA",""
"Grafton","GAF","","KGAF","Grafton Municipal Airport (Hutson Field)","GA",""
"Gwinner","GWR","GWR","KGWR","Gwinner-Roger Melroe Field","GA","149"
"Harvey","5H4","","","Harvey Municipal Airport","GA",""
"Hazen","HZE","","KHZE","Mercer County Regional Airport","GA",""
"Hettinger","HEI","","KHEI","Hettinger Municipal Airport","GA",""
