"Term","Mayor","Lifespan","Party","Notes"
"1818â\u0080\u00931830","Euseb Gast","","",""
"1830â\u0080\u00931835","Josef Girard","","Liberals",""
"1835â\u0080\u00931836","Franz Schilt","","",""
"1836â\u0080\u00931838","Marx SchÃ¼rer","","",""
"1838â\u0080\u00931839","Urs GÃ¼ggi","","",""
"1840â\u0080\u00931842","Euseb Gast","","",""
"1842â\u0080\u00931853","Franz Schilt","","",""
"1853â\u0080\u00931856","Josef Luterbacher","","",""
"1856â\u0080\u00931859","Euseb Vogt","(1829â\u0080\u00931912)","",""
"1859â\u0080\u00931866","Franz Schilt","","",""
"1866â\u0080\u00931899","Euseb Vogt","(1829â\u0080\u00931912)","",""
"1899â\u0080\u00931912","Robert Luterbacher","(1846â\u0080\u00931912)","SPS\/PSS",""
"1913â\u0080\u00931919","Hermann Guldimann","(1865â\u0080\u00931919)","SPS\/PSS",""
"1919â\u0080\u00931933","Arthur StÃ¤mpfli","","SPS\/PSS",""
"1933â\u0080\u00931960","Adolf Furrer","(1897â\u0080\u00931978)","SPS\/PSS",""
"1960â\u0080\u00931990","Eduard Rothen","(1925â\u0080\u00932007)","SPS\/PSS",""
"1991â\u0080\u00932013","Boris Banga","(born 1949)","SPS\/PSS",""
"2014â\u0080\u0093present","FranÃ§ois Scheidegger","","FDP",""

