"Language","World","Africa","Americas","Asia","Europe","Oceania","Countries"
"English","59","24","16","4","3","12","India, United States, Pakistan, United Kingdom. See the full list"
"French","29","21","2","-","5","1","France, Democratic Republic of the Congo, Canada, Madagascar. See the full list"
"Arabic","26","14","-","12","-","-","Egypt, Lebanon, Saudi Arabia, Morocco. See the full list"
"Spanish","21","1","19","-","1","1","Spain, Mexico, Equatorial Guinea, Easter Island in (Oceania). See the full list"
"Portuguese","10","6","1","1","2","-","Brazil, Portugal, Mozambique, Angola. See full list"
"Russian","8","-","-","3","5","-","Russia, Kazakhstan, Belarus, Kyrgyzstan, Tajikistan, Abkhazia*, South Ossetia*, Transnistria*. See also the full list"
"German","8","1","-","-","7","-","Germany, Austria, Switzerland, Belgium, Liechtenstein, Luxembourg, Italy, Namibia"
"Fula","7","7","-","-","-","-","Benin, Burkina Faso, Guinea, Mali, Mauritania, Niger, Senegal"
"Italian","6","-","-","-","6","-","Italy, Croatia, San Marino, Slovenia, Switzerland, Vatican City"
"Malay","4","-","-","4","-","-","Malaysia, Indonesia, Singapore, Brunei"
"Manding","4","4","-","-","-","-","Burkina Faso (Dioula), Guinea (Malinke), Mali (Bambara), Senegal (Maninka)"
"Swahili","4","4","-","-","-","-","Democratic Republic of the Congo, Kenya, Tanzania, Uganda"
"Chinese, Mandarin","3","-","-","3","-","-","China, Taiwan, Singapore"
"Dutch","3","-","1","-","2","-","Netherlands, Belgium, Suriname"
"Gbe","3","3","-","-","-","-","Benin, Ghana, Togo"
"Kikongo","3","3","-","-","-","-","Angola, Democratic Republic of the Congo, Republic of the Congo"
"Persian","3","-","-","3","-","-","Iran, Afghanistan (known as Dari), Tajikistan (known as Tajik)"
"Romanian","3","-","-","-","3","-","Romania, Moldova, Transnistria* (uses Cyrillic script there)"
"Serbian","3","-","-","-","3","-","Serbia, Bosnia and Herzegovina, Kosovo*"
"Somali","3","3","-","-","-","-","Djibouti, Somalia, Somaliland*"
"Soninke","3","3","-","-","-","-","Mali, Mauritania, Senegal"
"Tamil","3","-","-","3","-","-","India, Singapore, Sri Lanka"
"Tswana","3","3","-","-","-","-","Botswana, South Africa, Zimbabwe"
"Albanian","2","-","-","-","2","-","Albania and Kosovo*"
"Armenian","2","-","-","-","2","-","Armenia and Nagorno-Karabakh*"
"Aymara, Quechua","2","-","2","-","-","-","Bolivia and Peru"
"Berber","2","2","-","-","-","-","Algeria and Morocco"
"Chichewa","2","2","-","-","-","-","Malawi and Zimbabwe"
"Croatian","2","-","-","-","2","-","Croatia and Bosnia and Herzegovina"
"Greek","2","-","-","-","2","-","Greece and Cyprus"
"Hausa","2","2","-","-","-","-","Niger and Nigeria"
"Korean","2","-","-","2","-","-","North Korea and South Korea"
"Lingala","2","2","-","-","-","-","Democratic Republic of the Congo and Republic of the Congo"
"Slovak","2","-","-","-","2","-","Slovakia and Czech Republic"
"Songhay-Zarma","2","2","-","-","-","-","Mali, Niger"
"Sotho","2","2","-","-","-","-","Lesotho and South Africa"
"Swati","2","2","-","-","-","-","Swaziland and South Africa"
"Swedish","2","-","-","-","2","-","Sweden and Finland"
"Tamasheq","2","2","-","-","-","-","Mali and Niger"
"Turkish","2","-","-","-","2","-","Turkey and Cyprus"
"Ukrainian","2","-","-","-","2","-","Ukraine and Transnistria*"
"Venda","2","2","-","-","-","-","South Africa and Zimbabwe"
"Wolof","2","2","-","-","-","-","Mauritania and Senegal"
"Yoruba","2","2","-","-","-","-","Benin and Nigeria"
"Xhosa","2","2","-","-","-","-","South Africa and Zimbabwe"

