"No.","Blessed","Date of Beatification","Place of Beatification"
"1.","Cristobal of Saint Catherine","7 April 2013","Cordoba, Spain"
"2.","Luca Passi","13 April 2013","Venice, Italy"
"3.","NicolÃ² Rusca","21 April 2013","Sondrio, Italy"
"4.","Francisca de Paula de Jesus","4 May 2013","Minas Gerais, Brazil"
"5.","Luigi Novarese","11 May 2013","Rome, Italy"
"6.","Giuseppe Puglisi","25 May 2013","Palermo, Sicily, Italy"
"7.","Zofia Czeska-Maciejowska","9 June 2013","KrakÃ³w, Poland"
"8.","MaÅ\u0082gorzata Szewczyk","9 June 2013","KrakÃ³w, Poland"
"9.","Edward Focherini","15 June 2013","Modena, Italy"
"10.","Vladimir Ghika","31 August 2013","Bucharest, Romania"
"11.","Antonio Franco","2 September 2013","Messina, Italy"
"12.","Maria Bolognesi","7 September 2013","Rovigo, Italy"
"13.","Jose Gabriel del Rosario Brochero","14 September 2013","CÃ³rdoba, Argentina"
"14.","Thomas Olera","21 September 2013","Bergamo, Italy"
"15.","Miroslav BuleÅ¡iÄ\u0087","28 September 2013","Istria, Croatia"
"16.","Rolando Rivi","5 October 2013","Modena, Italy"
"17.","522 Spanish Martyrs","13 October 2013","Tarragona, Spain"
"18.","IstvÃ¡n SÃ¡ndor","19 October 2013","Budapest, Hungary"
"19.","Maria Theresia Bonzel","10 November 2013","Paderborn, Germany"

