"County","Main sources for county-wide lidar data"
"Anne Arundel","via DNR via NOAA"
"Baltimore County","contact BaltCo GIS Office"
"Caroline","via DNR via NOAA"
"Cecil","via DNR via NOAA"
"Charles","via DNR via NOAA"
"Dorchester","via DNR via NOAA"
"Howard","via DNR via NOAA"
"Kent","via DNR via NOAA"
"Montgomery","contact MontCo GIS Office"
"Prince George's","Underway: see MNCPPC 2009 Contract"
"Queen Anne's","via DNR via NOAA"
"St. Mary's","via DNR via NOAA"
"Somerset","via DNR via NOAA"
"Talbot","via DNR via NOAA"
"Wicomico","via DNR via NOAA"
"Worcester","via DNR"

