"Year","Name","Author","Notes"
"1999","Vector Prime","R.A. Salvatore",""
"2006","Boba Fett: A Practical Man","Karen Traviss","e-book novella"
"2000","Dark Tide I: Onslaught","Michael Stackpole",""
"â\u0080\u0093","Dark Tide: Siege","Michael Stackpole","canceled"
"2000","Dark Tide II: Ruin","Michael Stackpole",""
"2000","Agents of Chaos I: Heroâ\u0080\u0099s Trial","James Luceno",""
"2000","Agents of Chaos II: Jedi Eclipse","James Luceno",""
"2000","Balance Point","Kathy Tyers",""
"2002","Emissary of the Void","Greg Keyes","short story"
"â\u0080\u0093","Knightfall I: Jedi Storm","Michael Jan Friedman","canceled"
"â\u0080\u0093","Knightfall II: Jedi Blood","Michael Jan Friedman","canceled"
"â\u0080\u0093","Knightfall III: Jedi Fire","Michael Jan Friedman","canceled"
"2001","Recovery (set during Edge of Victory I: Conquest)","Troy Denning","e-book novella"
"2001","Edge of Victory I: Conquest","Greg Keyes",""
"2001","Edge of Victory II: Rebirth","Greg Keyes",""
"2001","Star by Star","Troy Denning",""
"2002","Dark Journey","Elaine Cunningham",""
"2002","The Apprentice (set during Dark Journey)","Elaine Cunningham","short story"
"2002","Enemy Lines I: Rebel Dream","Aaron Allston",""
"2002","Enemy Lines II: Rebel Stand","Aaron Allston",""
"2002","Traitor","Matthew Stover",""
"2002","Destiny's Way","Walter Jon Williams",""
"2002","Ylesia (set during Destiny's Way)","Walter Jon Williams","e-book novella"
"2003","Force Heretic I: Remnant","Sean Williams & Shane Dix",""
"2004","Equals and Opposites","Nathan Butler","comic book"
"2003","Force Heretic II: Refugee","Sean Williams & Shane Dix",""
"2003","Or Die Trying","Sean Williams & Shane Dix","short story"
"2003","Force Heretic III: Reunion","Sean Williams & Shane Dix",""
"2003","The Final Prophecy","Greg Keyes",""
"2003","The Unifying Force","James Luceno",""

